faction_episode_id;faction_id;faction_name ;faction_party_ids;parliament_id;seats;faction_start;faction_end
NL_NT-TK_1948__NL_VVD_NT;NL_NT-TK_1948__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1948;8;28jul1948;15jul1952
NL_NT-TK_1948__NL_WELT_NT;NL_NT-TK_1948__NL_WELT_NT;WELTER;NL_WELT_NT;NL_NT-TK_1948;1;28jul1948;15jul1952
NL_NT-TK_1952__NL_KVP_NT;NL_NT-TK_1952__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1952;30;16jul1952;03jul1956
NL_NT-TK_1952__NL_PvdA_NT;NL_NT-TK_1952__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1952;30;16jul1952;03jul1956
NL_NT-TK_1952__NL_ARP_NT;NL_NT-TK_1952__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1952;12;16jul1952;03jul1956
NL_NT-TK_1952__NL_CPN_NT;NL_NT-TK_1952__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1952;6;16jul1952;03jul1956
NL_NT-TK_1952__NL_CHU_NT;NL_NT-TK_1952__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1952;9;16jul1952;03jul1956
NL_NT-TK_1952__NL_SGP_NT;NL_NT-TK_1952__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1952;2;16jul1952;03jul1956
NL_NT-TK_1952__NL_VVD_NT;NL_NT-TK_1952__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1952;9;16jul1952;03jul1956
NL_NT-TK_1952__NL_KNP_NT;NL_NT-TK_1952__NL_KNP_NT;KNP;NL_KNP_NT;NL_NT-TK_1952;2;16jul1952;03jul1956
NL_NT-TK_1956__NL_KVP_NT;NL_NT-TK_1956__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1956;33;04jul1956;20mar1959
NL_NT-TK_1956__NL_PvdA_NT;NL_NT-TK_1956__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1956;34;04jul1956;20mar1959
NL_NT-TK_1956__NL_ARP_NT;NL_NT-TK_1956__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1956;10;04jul1956;20mar1959
NL_NT-TK_1956__NL_CPN_NT;NL_NT-TK_1956__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1956;4;04jul1956;20mar1959
NL_NT-TK_1956__NL_CHU_NT;NL_NT-TK_1956__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1956;8;04jul1956;20mar1959
NL_NT-TK_1956__NL_SGP_NT;NL_NT-TK_1956__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1956;2;04jul1956;20mar1959
NL_NT-TK_1956__NL_VVD_NT;NL_NT-TK_1956__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1956;9;04jul1956;20mar1959
NL_NT-TK_1959__NL_KVP_NT;NL_NT-TK_1959__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1959;49;21mar1959;05jun1963
NL_NT-TK_1959__NL_PvdA_NT;NL_NT-TK_1959__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1959;48;21mar1959;05jun1963
NL_NT-TK_1959__NL_ARP_NT;NL_NT-TK_1959__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1959;14;21mar1959;05jun1963
NL_NT-TK_1959__NL_CPN_NT;NL_NT-TK_1959__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1959;3;21mar1959;05jun1963
NL_NT-TK_1959__NL_CHU_NT;NL_NT-TK_1959__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1959;12;21mar1959;05jun1963
NL_NT-TK_1959__NL_SGP_NT;NL_NT-TK_1959__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1959;3;21mar1959;05jun1963
NL_NT-TK_1959__NL_VVD_NT;NL_NT-TK_1959__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1959;19;21mar1959;05jun1963
NL_NT-TK_1959__NL_PSP_NT;NL_NT-TK_1959__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1959;2;21mar1959;05jun1963
NL_NT-TK_1963__NL_KVP_NT;NL_NT-TK_1963__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1963;50;06jun1963;23feb1967
NL_NT-TK_1963__NL_PvdA_NT;NL_NT-TK_1963__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1963;43;06jun1963;23feb1967
NL_NT-TK_1963__NL_ARP_NT;NL_NT-TK_1963__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1963;13;06jun1963;23feb1967
NL_NT-TK_1963__NL_CPN_NT;NL_NT-TK_1963__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1963;4;06jun1963;23feb1967
NL_NT-TK_1963__NL_CHU_NT;NL_NT-TK_1963__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1963;13;06jun1963;23feb1967
NL_NT-TK_1963__NL_SGP_NT;NL_NT-TK_1963__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1963;3;06jun1963;23feb1967
NL_NT-TK_1963__NL_VVD_NT;NL_NT-TK_1963__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1963;16;06jun1963;23feb1967
NL_NT-TK_1963__NL_PSP_NT;NL_NT-TK_1963__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1963;4;06jun1963;23feb1967
NL_NT-TK_1963__NL_Bp_NT;NL_NT-TK_1963__NL_Bp_NT;BOERENPARTIJ;NL_Bp_NT;NL_NT-TK_1963;3;06jun1963;23feb1967
NL_NT-TK_1963__NL_GPV_NT;NL_NT-TK_1963__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1963;1;06jun1963;23feb1967
NL_NT-TK_1967__NL_KVP_NT;NL_NT-TK_1967__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1967;42;24feb1967;11may1971
NL_NT-TK_1967__NL_PvdA_NT;NL_NT-TK_1967__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1967;37;24feb1967;11may1971
NL_NT-TK_1967__NL_ARP_NT;NL_NT-TK_1967__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1967;15;24feb1967;11may1971
NL_NT-TK_1967__NL_CPN_NT;NL_NT-TK_1967__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1967;5;24feb1967;11may1971
NL_NT-TK_1967__NL_CHU_NT;NL_NT-TK_1967__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1967;12;24feb1967;11may1971
NL_NT-TK_1967__NL_SGP_NT;NL_NT-TK_1967__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1967;3;24feb1967;11may1971
NL_NT-TK_1967__NL_VVD_NT;NL_NT-TK_1967__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1967;17;24feb1967;11may1971
NL_NT-TK_1967__NL_PSP_NT;NL_NT-TK_1967__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1967;4;24feb1967;11may1971
NL_NT-TK_1967__NL_Bp_NT;NL_NT-TK_1967__NL_Bp_NT;BOERENPARTIJ;NL_Bp_NT;NL_NT-TK_1967;7;24feb1967;11may1971
NL_NT-TK_1967__NL_GPV_NT;NL_NT-TK_1967__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1967;1;24feb1967;11may1971
NL_NT-TK_1967__NL_D66_NT;NL_NT-TK_1967__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1967;7;24feb1967;11may1971
NL_NT-TK_1972__NL_KVP_NT;NL_NT-TK_1972__NL_KVP_NT;KVP;NL_KVP_NT;NL_NT-TK_1972;27;08dec1972;08jun1977
NL_NT-TK_1972__NL_PvdA_NT;NL_NT-TK_1972__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1972;43;08dec1972;08jun1977
NL_NT-TK_1972__NL_ARP_NT;NL_NT-TK_1972__NL_ARP_NT;ARP;NL_ARP_NT;NL_NT-TK_1972;14;08dec1972;08jun1977
NL_NT-TK_1972__NL_CPN_NT;NL_NT-TK_1972__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1972;7;08dec1972;08jun1977
NL_NT-TK_1972__NL_CHU_NT;NL_NT-TK_1972__NL_CHU_NT;CHU;NL_CHU_NT;NL_NT-TK_1972;7;08dec1972;08jun1977
NL_NT-TK_1972__NL_SGP_NT;NL_NT-TK_1972__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1972;3;08dec1972;08jun1977
NL_NT-TK_1972__NL_VVD_NT;NL_NT-TK_1972__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1972;22;08dec1972;08jun1977
NL_NT-TK_1972__NL_PSP_NT;NL_NT-TK_1972__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1972;2;08dec1972;08jun1977
NL_NT-TK_1972__NL_Bp_NT;NL_NT-TK_1972__NL_Bp_NT;BOERENPARTIJ;NL_Bp_NT;NL_NT-TK_1972;3;08dec1972;08jun1977
NL_NT-TK_1972__NL_GPV_NT;NL_NT-TK_1972__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1972;2;08dec1972;08jun1977
NL_NT-TK_1972__NL_D66_NT;NL_NT-TK_1972__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1972;6;08dec1972;08jun1977
NL_NT-TK_1972__NL_DS70_NT;NL_NT-TK_1972__NL_DS70_NT;DS70;NL_DS70_NT;NL_NT-TK_1972;6;08dec1972;08jun1977
NL_NT-TK_1972__NL_PPR_NT;NL_NT-TK_1972__NL_PPR_NT;PPR;NL_PPR_NT;NL_NT-TK_1972;7;08dec1972;08jun1977
NL_NT-TK_1972__NL_RKPN_NT;NL_NT-TK_1972__NL_RKPN_NT;RKPN;NL_RKPN_NT;NL_NT-TK_1972;1;08dec1972;08jun1977
NL_NT-TK_1977__NL_PvdA_NT;NL_NT-TK_1977__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1977;53;09jun1977;10jun1981
NL_NT-TK_1977__NL_CPN_NT;NL_NT-TK_1977__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1977;2;09jun1977;10jun1981
NL_NT-TK_1977__NL_SGP_NT;NL_NT-TK_1977__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1977;3;09jun1977;10jun1981
NL_NT-TK_1977__NL_VVD_NT;NL_NT-TK_1977__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1977;28;09jun1977;10jun1981
NL_NT-TK_1977__NL_PSP_NT;NL_NT-TK_1977__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1977;1;09jun1977;10jun1981
NL_NT-TK_1977__NL_Bp_NT;NL_NT-TK_1977__NL_Bp_NT;BOERENPARTIJ;NL_Bp_NT;NL_NT-TK_1977;1;09jun1977;10jun1981
NL_NT-TK_1977__NL_GPV_NT;NL_NT-TK_1977__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1977;1;09jun1977;10jun1981
NL_NT-TK_1977__NL_D66_NT;NL_NT-TK_1977__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1977;8;09jun1977;10jun1981
NL_NT-TK_1977__NL_DS70_NT;NL_NT-TK_1977__NL_DS70_NT;DS70;NL_DS70_NT;NL_NT-TK_1977;1;09jun1977;10jun1981
NL_NT-TK_1977__NL_PPR_NT;NL_NT-TK_1977__NL_PPR_NT;PPR;NL_PPR_NT;NL_NT-TK_1977;3;09jun1977;10jun1981
NL_NT-TK_1981__NL_CDA_NT;NL_NT-TK_1981__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1981;48;11jun1981;16sep1982
NL_NT-TK_1981__NL_PvdA_NT;NL_NT-TK_1981__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1981;44;11jun1981;16sep1982
NL_NT-TK_1981__NL_CPN_NT;NL_NT-TK_1981__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1981;3;11jun1981;16sep1982
NL_NT-TK_1981__NL_SGP_NT;NL_NT-TK_1981__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1981;3;11jun1981;16sep1982
NL_NT-TK_1981__NL_VVD_NT;NL_NT-TK_1981__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1981;26;11jun1981;16sep1982
NL_NT-TK_1981__NL_PSP_NT;NL_NT-TK_1981__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1981;3;11jun1981;16sep1982
NL_NT-TK_1981__NL_GPV_NT;NL_NT-TK_1981__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1981;1;11jun1981;16sep1982
NL_NT-TK_1981__NL_D66_NT;NL_NT-TK_1981__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1981;17;11jun1981;16sep1982
NL_NT-TK_1981__NL_PPR_NT;NL_NT-TK_1981__NL_PPR_NT;PPR;NL_PPR_NT;NL_NT-TK_1981;3;11jun1981;16sep1982
NL_NT-TK_1981__NL_RPF_NT;NL_NT-TK_1981__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1981;2;11jun1981;16sep1982
NL_NT-TK_1982__NL_CDA_NT;NL_NT-TK_1982__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1982;45;17sep1982;03jun1986
NL_NT-TK_1982__NL_PvdA_NT;NL_NT-TK_1982__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1982;47;17sep1982;03jun1986
NL_NT-TK_1982__NL_CPN_NT;NL_NT-TK_1982__NL_CPN_NT;CPN;NL_CPN_NT;NL_NT-TK_1982;3;17sep1982;03jun1986
NL_NT-TK_1982__NL_SGP_NT;NL_NT-TK_1982__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1982;3;17sep1982;03jun1986
NL_NT-TK_1982__NL_VVD_NT;NL_NT-TK_1982__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1982;36;17sep1982;03jun1986
NL_NT-TK_1982__NL_PSP_NT;NL_NT-TK_1982__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1982;3;17sep1982;03jun1986
NL_NT-TK_1982__NL_GPV_NT;NL_NT-TK_1982__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1982;1;17sep1982;03jun1986
NL_NT-TK_1982__NL_D66_NT;NL_NT-TK_1982__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1982;6;17sep1982;03jun1986
NL_NT-TK_1982__NL_PPR_NT;NL_NT-TK_1982__NL_PPR_NT;PPR;NL_PPR_NT;NL_NT-TK_1982;2;17sep1982;03jun1986
NL_NT-TK_1982__NL_RPF_NT;NL_NT-TK_1982__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1982;2;17sep1982;03jun1986
NL_NT-TK_1982__NL_CP_NT;NL_NT-TK_1982__NL_CP_NT;CP;NL_CP_NT;NL_NT-TK_1982;1;17sep1982;03jun1986
NL_NT-TK_1982__NL_EVP_NT;NL_NT-TK_1982__NL_EVP_NT;EVP;NL_EVP_NT;NL_NT-TK_1982;1;17sep1982;03jun1986
NL_NT-TK_1986__NL_CDA_NT;NL_NT-TK_1986__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1986;54;04jun1986;14sep1989
NL_NT-TK_1986__NL_PvdA_NT;NL_NT-TK_1986__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1986;52;04jun1986;14sep1989
NL_NT-TK_1986__NL_SGP_NT;NL_NT-TK_1986__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1986;3;04jun1986;14sep1989
NL_NT-TK_1986__NL_VVD_NT;NL_NT-TK_1986__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1986;27;04jun1986;14sep1989
NL_NT-TK_1986__NL_PSP_NT;NL_NT-TK_1986__NL_PSP_NT;PSP;NL_PSP_NT;NL_NT-TK_1986;1;04jun1986;14sep1989
NL_NT-TK_1986__NL_GPV_NT;NL_NT-TK_1986__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1986;1;04jun1986;14sep1989
NL_NT-TK_1986__NL_D66_NT;NL_NT-TK_1986__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1986;9;04jun1986;14sep1989
NL_NT-TK_1986__NL_PPR_NT;NL_NT-TK_1986__NL_PPR_NT;PPR;NL_PPR_NT;NL_NT-TK_1986;2;04jun1986;14sep1989
NL_NT-TK_1986__NL_RPF_NT;NL_NT-TK_1986__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1986;1;04jun1986;14sep1989
NL_NT-TK_1989__NL_CDA_NT;NL_NT-TK_1989__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1989;54;15sep1989;17may1994
NL_NT-TK_1989__NL_PvdA_NT;NL_NT-TK_1989__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1989;49;15sep1989;17may1994
NL_NT-TK_1989__NL_SGP_NT;NL_NT-TK_1989__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1989;3;15sep1989;17may1994
NL_NT-TK_1989__NL_VVD_NT;NL_NT-TK_1989__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1989;22;15sep1989;17may1994
NL_NT-TK_1989__NL_GPV_NT;NL_NT-TK_1989__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1989;2;15sep1989;17may1994
NL_NT-TK_1989__NL_D66_NT;NL_NT-TK_1989__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1989;12;15sep1989;17may1994
NL_NT-TK_1989__NL_RPF_NT;NL_NT-TK_1989__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1989;1;15sep1989;17may1994
NL_NT-TK_1989__NL_GL_NT;NL_NT-TK_1989__NL_GL_NT;GL;NL_GL_NT;NL_NT-TK_1989;6;15sep1989;17may1994
NL_NT-TK_1989__NL_CD_NT;NL_NT-TK_1989__NL_CD_NT;CD;NL_CD_NT;NL_NT-TK_1989;1;15sep1989;17may1994
NL_NT-TK_1994__NL_CDA_NT;NL_NT-TK_1994__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1994;34;18may1994;19may1998
NL_NT-TK_1994__NL_PvdA_NT;NL_NT-TK_1994__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1994;37;18may1994;19may1998
NL_NT-TK_1994__NL_SGP_NT;NL_NT-TK_1994__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1994;2;18may1994;19may1998
NL_NT-TK_1994__NL_VVD_NT;NL_NT-TK_1994__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1994;31;18may1994;19may1998
NL_NT-TK_1994__NL_GPV_NT;NL_NT-TK_1994__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1994;2;18may1994;19may1998
NL_NT-TK_1994__NL_D66_NT;NL_NT-TK_1994__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1994;24;18may1994;19may1998
NL_NT-TK_1994__NL_RPF_NT;NL_NT-TK_1994__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1994;3;18may1994;19may1998
NL_NT-TK_1994__NL_GL_NT;NL_NT-TK_1994__NL_GL_NT;GL;NL_GL_NT;NL_NT-TK_1994;5;18may1994;19may1998
NL_NT-TK_1994__NL_CD_NT;NL_NT-TK_1994__NL_CD_NT;CD;NL_CD_NT;NL_NT-TK_1994;3;18may1994;19may1998
NL_NT-TK_1994__NL_AOV_NT;NL_NT-TK_1994__NL_AOV_NT;AOV;NL_AOV_NT;NL_NT-TK_1994;6;18may1994;19may1998
NL_NT-TK_1994__NL_SP_NT;NL_NT-TK_1994__NL_SP_NT;SP;NL_SP_NT;NL_NT-TK_1994;2;18may1994;19may1998
NL_NT-TK_1994__NL_UNIE55_NT;NL_NT-TK_1994__NL_UNIE55_NT;UNIE55;NL_UNIE55_NT;NL_NT-TK_1994;1;18may1994;19may1998
NL_NT-TK_1998__NL_CDA_NT;NL_NT-TK_1998__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_1998;29;20may1998;23may2002
NL_NT-TK_1998__NL_PvdA_NT;NL_NT-TK_1998__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_1998;45;20may1998;23may2002
NL_NT-TK_1998__NL_SGP_NT;NL_NT-TK_1998__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_1998;3;20may1998;23may2002
NL_NT-TK_1998__NL_VVD_NT;NL_NT-TK_1998__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_1998;38;20may1998;23may2002
NL_NT-TK_1998__NL_GPV_NT;NL_NT-TK_1998__NL_GPV_NT;GPV;NL_GPV_NT;NL_NT-TK_1998;2;20may1998;23may2002
NL_NT-TK_1998__NL_D66_NT;NL_NT-TK_1998__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_1998;14;20may1998;23may2002
NL_NT-TK_1998__NL_RPF_NT;NL_NT-TK_1998__NL_RPF_NT;RPF;NL_RPF_NT;NL_NT-TK_1998;3;20may1998;23may2002
NL_NT-TK_1998__NL_GL_NT;NL_NT-TK_1998__NL_GL_NT;GL;NL_GL_NT;NL_NT-TK_1998;11;20may1998;23may2002
NL_NT-TK_1998__NL_SP_NT;NL_NT-TK_1998__NL_SP_NT;SP;NL_SP_NT;NL_NT-TK_1998;5;20may1998;23may2002
NL_NT-TK_2002__NL_CDA_NT;NL_NT-TK_2002__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_2002;43;24may2002;30jan2003
NL_NT-TK_2002__NL_PvdA_NT;NL_NT-TK_2002__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_2002;23;24may2002;30jan2003
NL_NT-TK_2002__NL_SGP_NT;NL_NT-TK_2002__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_2002;2;24may2002;30jan2003
NL_NT-TK_2002__NL_VVD_NT;NL_NT-TK_2002__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_2002;24;24may2002;30jan2003
NL_NT-TK_2002__NL_D66_NT;NL_NT-TK_2002__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_2002;7;24may2002;30jan2003
NL_NT-TK_2002__NL_GL_NT;NL_NT-TK_2002__NL_GL_NT;GL;NL_GL_NT;NL_NT-TK_2002;10;24may2002;30jan2003
NL_NT-TK_2002__NL_SP_NT;NL_NT-TK_2002__NL_SP_NT;SP;NL_SP_NT;NL_NT-TK_2002;9;24may2002;30jan2003
NL_NT-TK_2002__NL_LPF_NT;NL_NT-TK_2002__NL_LPF_NT;LPF;NL_LPF_NT;NL_NT-TK_2002;26;24may2002;30jan2003
NL_NT-TK_2002__NL_LN_NT;NL_NT-TK_2002__NL_LN_NT;LN;NL_LN_NT;NL_NT-TK_2002;2;24may2002;30jan2003
NL_NT-TK_2002__NL_CU_NT;NL_NT-TK_2002__NL_CU_NT;CU;NL_CU_NT;NL_NT-TK_2002;4;24may2002;30jan2003
NL_NT-TK_2003__NL_CDA_NT;NL_NT-TK_2003__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_2003;44;31jan2003;30nov2006
NL_NT-TK_2003__NL_PvdA_NT;NL_NT-TK_2003__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_2003;42;31jan2003;30nov2006
NL_NT-TK_2003__NL_SGP_NT;NL_NT-TK_2003__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_2003;2;31jan2003;30nov2006
NL_NT-TK_2003__NL_VVD_NT;NL_NT-TK_2003__NL_VVD_NT;VVD;NL_VVD_NT;NL_NT-TK_2003;28;31jan2003;30nov2006
NL_NT-TK_2003__NL_D66_NT;NL_NT-TK_2003__NL_D66_NT;D66;NL_D66_NT;NL_NT-TK_2003;6;31jan2003;30nov2006
NL_NT-TK_2003__NL_GL_NT;NL_NT-TK_2003__NL_GL_NT;GL;NL_GL_NT;NL_NT-TK_2003;8;31jan2003;30nov2006
NL_NT-TK_2003__NL_SP_NT;NL_NT-TK_2003__NL_SP_NT;SP;NL_SP_NT;NL_NT-TK_2003;9;31jan2003;30nov2006
NL_NT-TK_2003__NL_LPF_NT;NL_NT-TK_2003__NL_LPF_NT;LPF;NL_LPF_NT;NL_NT-TK_2003;8;31jan2003;30nov2006
NL_NT-TK_2003__NL_CU_NT;NL_NT-TK_2003__NL_CU_NT;CU;NL_CU_NT;NL_NT-TK_2003;3;31jan2003;30nov2006
NL_NT-TK_2006__NL_CDA_NT;NL_NT-TK_2006__NL_CDA_NT;CDA;NL_CDA_NT;NL_NT-TK_2006;41;01dec2006;17jun2010
NL_NT-TK_2006__NL_PvdA_NT;NL_NT-TK_2006__NL_PvdA_NT;PVDA;NL_PvdA_NT;NL_NT-TK_2006;33;01dec2006;17jun2010
NL_NT-TK_2006__NL_SGP_NT;NL_NT-TK_2006__NL_SGP_NT;SGP;NL_SGP_NT;NL_NT-TK_2006;2;01dec2006;17jun2010
