elec_id;district_id;parliament_id;election_date;election_type;election_mode;parliament_id_of_electing_parliament;election_hierarchy;election_round;district_votes_total
CH_NT-NR_1951__Bern__28oct1951;CH_NT-NR_1951__Bern;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;5069086
CH_NT-NR_1951__Fribourg__28oct1951;CH_NT-NR_1951__Fribourg;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;220164
CH_NT-NR_1951__Geneve__28oct1951;CH_NT-NR_1951__Geneve;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;183283
CH_NT-NR_1951__Glarus__28oct1951;CH_NT-NR_1951__Glarus;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;NA
CH_NT-NR_1951__Graubuenden__28oct1951;CH_NT-NR_1951__Graubuenden;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;155644
CH_NT-NR_1951__Luzern__28oct1951;CH_NT-NR_1951__Luzern;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;456753
CH_NT-NR_1951__Neuchatel__28oct1951;CH_NT-NR_1951__Neuchatel;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;87809
CH_NT-NR_1951__Nidwalden__28oct1951;CH_NT-NR_1951__Nidwalden;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;2443
CH_NT-NR_1951__Obwalden__28oct1951;CH_NT-NR_1951__Obwalden;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;3717
CH_NT-NR_1951__Schaffhausen__28oct1951;CH_NT-NR_1951__Schaffhausen;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;NA
CH_NT-NR_1951__Schwyz__28oct1951;CH_NT-NR_1951__Schwyz;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;38799
CH_NT-NR_1951__Solothurn__28oct1951;CH_NT-NR_1951__Solothurn;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;295882
CH_NT-NR_1951__St-Gallen__28oct1951;CH_NT-NR_1951__St-Gallen;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;804620
CH_NT-NR_1951__Thurgau__28oct1951;CH_NT-NR_1951__Thurgau;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;191478
CH_NT-NR_1951__Ticino__28oct1951;CH_NT-NR_1951__Ticino;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;211276
CH_NT-NR_1951__Uri__28oct1951;CH_NT-NR_1951__Uri;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;4528
CH_NT-NR_1951__Valais__28oct1951;CH_NT-NR_1951__Valais;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;188602
CH_NT-NR_1951__Vaud__28oct1951;CH_NT-NR_1951__Vaud;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;868908
CH_NT-NR_1951__Zuerich__28oct1951;CH_NT-NR_1951__Zuerich;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;5423983
CH_NT-NR_1951__Zug__28oct1951;CH_NT-NR_1951__Zug;CH_NT-NR_1951;28oct1951;regular;popular;;main-election;1;16619
CH_NT-NR_1967__Aargau__29oct1967;CH_NT-NR_1967__Aargau;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;984948
CH_NT-NR_1967__Appenzell-A-RH__29oct1967;CH_NT-NR_1967__Appenzell-A-RH;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;NA
CH_NT-NR_1967__Appenzell-I-RH__29oct1967;CH_NT-NR_1967__Appenzell-I-RH;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;1017
CH_NT-NR_1967__Basel-Landschaft__29oct1967;CH_NT-NR_1967__Basel-Landschaft;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;141751
CH_NT-NR_1967__Basel-Stadt__29oct1967;CH_NT-NR_1967__Basel-Stadt;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;256406
CH_NT-NR_1967__Bern__29oct1967;CH_NT-NR_1967__Bern;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;4666536
CH_NT-NR_1967__Fribourg__29oct1967;CH_NT-NR_1967__Fribourg;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;193008
CH_NT-NR_1967__Geneve__29oct1967;CH_NT-NR_1967__Geneve;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;292251
CH_NT-NR_1967__Glarus__29oct1967;CH_NT-NR_1967__Glarus;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;NA
CH_NT-NR_1967__Graubuenden__29oct1967;CH_NT-NR_1967__Graubuenden;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;129201
CH_NT-NR_1967__Luzern__29oct1967;CH_NT-NR_1967__Luzern;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;528980
CH_NT-NR_1967__Neuchatel__29oct1967;CH_NT-NR_1967__Neuchatel;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;108194
CH_NT-NR_1967__Nidwalden__29oct1967;CH_NT-NR_1967__Nidwalden;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;4965
CH_NT-NR_1967__Obwalden__29oct1967;CH_NT-NR_1967__Obwalden;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;1534
CH_NT-NR_1967__Schaffhausen__29oct1967;CH_NT-NR_1967__Schaffhausen;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;29747
CH_NT-NR_1967__Schwyz__29oct1967;CH_NT-NR_1967__Schwyz;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;NA
CH_NT-NR_1967__Solothurn__29oct1967;CH_NT-NR_1967__Solothurn;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;313455
CH_NT-NR_1967__St-Gallen__29oct1967;CH_NT-NR_1967__St-Gallen;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;781051
CH_NT-NR_1967__Thurgau__29oct1967;CH_NT-NR_1967__Thurgau;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;182573
CH_NT-NR_1967__Ticino__29oct1967;CH_NT-NR_1967__Ticino;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;236467
CH_NT-NR_1967__Uri__29oct1967;CH_NT-NR_1967__Uri;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;4010
CH_NT-NR_1967__Valais__29oct1967;CH_NT-NR_1967__Valais;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;217501
CH_NT-NR_1967__Vaud__29oct1967;CH_NT-NR_1967__Vaud;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;889317
CH_NT-NR_1967__Zuerich__29oct1967;CH_NT-NR_1967__Zuerich;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;6105377
CH_NT-NR_1967__Zug__29oct1967;CH_NT-NR_1967__Zug;CH_NT-NR_1967;29oct1967;regular;popular;;main-election;1;16617
CH_NT-NR_1971__Zuerich__31oct1971;CH_NT-NR_1971__Zuerich;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Bern__31oct1971;CH_NT-NR_1971__Bern;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Luzern__31oct1971;CH_NT-NR_1971__Luzern;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Uri__31oct1971;CH_NT-NR_1971__Uri;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Schwyz__31oct1971;CH_NT-NR_1971__Schwyz;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Obwalden__31oct1971;CH_NT-NR_1971__Obwalden;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Nidwalden__31oct1971;CH_NT-NR_1971__Nidwalden;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Glarus__31oct1971;CH_NT-NR_1971__Glarus;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Zug__31oct1971;CH_NT-NR_1971__Zug;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Fribourg__31oct1971;CH_NT-NR_1971__Fribourg;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Solothurn__31oct1971;CH_NT-NR_1971__Solothurn;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Basel-Stadt__31oct1971;CH_NT-NR_1971__Basel-Stadt;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Basel-Landschaft__31oct1971;CH_NT-NR_1971__Basel-Landschaft;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Schaffhausen__31oct1971;CH_NT-NR_1971__Schaffhausen;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Appenzell-A-RH__31oct1971;CH_NT-NR_1971__Appenzell-A-RH;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Appenzell-I-RH__31oct1971;CH_NT-NR_1971__Appenzell-I-RH;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__St-Gallen__31oct1971;CH_NT-NR_1971__St-Gallen;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Graubuenden__31oct1971;CH_NT-NR_1971__Graubuenden;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Aargau__31oct1971;CH_NT-NR_1971__Aargau;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Thurgau__31oct1971;CH_NT-NR_1971__Thurgau;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Ticino__31oct1971;CH_NT-NR_1971__Ticino;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Vaud__31oct1971;CH_NT-NR_1971__Vaud;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Valais__31oct1971;CH_NT-NR_1971__Valais;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Neuchatel__31oct1971;CH_NT-NR_1971__Neuchatel;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1971__Geneve__31oct1971;CH_NT-NR_1971__Geneve;CH_NT-NR_1971;31oct1971;regular;popular;;main-election;1;
CH_NT-NR_1975__Zuerich__26oct1975;CH_NT-NR_1975__Zuerich;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Bern__26oct1975;CH_NT-NR_1975__Bern;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Luzern__26oct1975;CH_NT-NR_1975__Luzern;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Uri__26oct1975;CH_NT-NR_1975__Uri;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Schwyz__26oct1975;CH_NT-NR_1975__Schwyz;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Obwalden__26oct1975;CH_NT-NR_1975__Obwalden;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Nidwalden__26oct1975;CH_NT-NR_1975__Nidwalden;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Glarus__26oct1975;CH_NT-NR_1975__Glarus;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Zug__26oct1975;CH_NT-NR_1975__Zug;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Fribourg__26oct1975;CH_NT-NR_1975__Fribourg;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Solothurn__26oct1975;CH_NT-NR_1975__Solothurn;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Basel-Stadt__26oct1975;CH_NT-NR_1975__Basel-Stadt;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Basel-Landschaft__26oct1975;CH_NT-NR_1975__Basel-Landschaft;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Schaffhausen__26oct1975;CH_NT-NR_1975__Schaffhausen;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Appenzell-A-RH__26oct1975;CH_NT-NR_1975__Appenzell-A-RH;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Appenzell-I-RH__26oct1975;CH_NT-NR_1975__Appenzell-I-RH;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__St-Gallen__26oct1975;CH_NT-NR_1975__St-Gallen;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Graubuenden__26oct1975;CH_NT-NR_1975__Graubuenden;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Aargau__26oct1975;CH_NT-NR_1975__Aargau;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Thurgau__26oct1975;CH_NT-NR_1975__Thurgau;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Ticino__26oct1975;CH_NT-NR_1975__Ticino;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Vaud__26oct1975;CH_NT-NR_1975__Vaud;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Valais__26oct1975;CH_NT-NR_1975__Valais;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Neuchatel__26oct1975;CH_NT-NR_1975__Neuchatel;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1975__Geneve__26oct1975;CH_NT-NR_1975__Geneve;CH_NT-NR_1975;26oct1975;regular;popular;;main-election;1;
CH_NT-NR_1979__Zuerich__21oct1979;CH_NT-NR_1979__Zuerich;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Bern__21oct1979;CH_NT-NR_1979__Bern;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Luzern__21oct1979;CH_NT-NR_1979__Luzern;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Uri__21oct1979;CH_NT-NR_1979__Uri;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Schwyz__21oct1979;CH_NT-NR_1979__Schwyz;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Obwalden__21oct1979;CH_NT-NR_1979__Obwalden;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Nidwalden__21oct1979;CH_NT-NR_1979__Nidwalden;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Glarus__21oct1979;CH_NT-NR_1979__Glarus;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Zug__21oct1979;CH_NT-NR_1979__Zug;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Fribourg__21oct1979;CH_NT-NR_1979__Fribourg;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Solothurn__21oct1979;CH_NT-NR_1979__Solothurn;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Basel-Stadt__21oct1979;CH_NT-NR_1979__Basel-Stadt;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Basel-Landschaft__21oct1979;CH_NT-NR_1979__Basel-Landschaft;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Schaffhausen__21oct1979;CH_NT-NR_1979__Schaffhausen;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Appenzell-A-RH__21oct1979;CH_NT-NR_1979__Appenzell-A-RH;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Appenzell-I-RH__21oct1979;CH_NT-NR_1979__Appenzell-I-RH;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__St-Gallen__21oct1979;CH_NT-NR_1979__St-Gallen;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Graubuenden__21oct1979;CH_NT-NR_1979__Graubuenden;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Aargau__21oct1979;CH_NT-NR_1979__Aargau;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Thurgau__21oct1979;CH_NT-NR_1979__Thurgau;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Ticino__21oct1979;CH_NT-NR_1979__Ticino;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Vaud__21oct1979;CH_NT-NR_1979__Vaud;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Valais__21oct1979;CH_NT-NR_1979__Valais;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Neuchatel__21oct1979;CH_NT-NR_1979__Neuchatel;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Geneve__21oct1979;CH_NT-NR_1979__Geneve;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1979__Jura__21oct1979;CH_NT-NR_1979__Jura;CH_NT-NR_1979;21oct1979;regular;popular;;main-election;1;
CH_NT-NR_1983__Zuerich__23oct1983;CH_NT-NR_1983__Zuerich;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Bern__23oct1983;CH_NT-NR_1983__Bern;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Luzern__23oct1983;CH_NT-NR_1983__Luzern;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Uri__23oct1983;CH_NT-NR_1983__Uri;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Schwyz__23oct1983;CH_NT-NR_1983__Schwyz;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Obwalden__23oct1983;CH_NT-NR_1983__Obwalden;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Nidwalden__23oct1983;CH_NT-NR_1983__Nidwalden;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Glarus__23oct1983;CH_NT-NR_1983__Glarus;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Zug__23oct1983;CH_NT-NR_1983__Zug;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Fribourg__23oct1983;CH_NT-NR_1983__Fribourg;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Solothurn__23oct1983;CH_NT-NR_1983__Solothurn;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Basel-Stadt__23oct1983;CH_NT-NR_1983__Basel-Stadt;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Basel-Landschaft__23oct1983;CH_NT-NR_1983__Basel-Landschaft;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Schaffhausen__23oct1983;CH_NT-NR_1983__Schaffhausen;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Appenzell-A-RH__23oct1983;CH_NT-NR_1983__Appenzell-A-RH;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Appenzell-I-RH__23oct1983;CH_NT-NR_1983__Appenzell-I-RH;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__St-Gallen__23oct1983;CH_NT-NR_1983__St-Gallen;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Graubuenden__23oct1983;CH_NT-NR_1983__Graubuenden;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Aargau__23oct1983;CH_NT-NR_1983__Aargau;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Thurgau__23oct1983;CH_NT-NR_1983__Thurgau;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Ticino__23oct1983;CH_NT-NR_1983__Ticino;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Vaud__23oct1983;CH_NT-NR_1983__Vaud;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Valais__23oct1983;CH_NT-NR_1983__Valais;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Neuchatel__23oct1983;CH_NT-NR_1983__Neuchatel;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Geneve__23oct1983;CH_NT-NR_1983__Geneve;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1983__Jura__23oct1983;CH_NT-NR_1983__Jura;CH_NT-NR_1983;23oct1983;regular;popular;;main-election;1;
CH_NT-NR_1987__Zuerich__18oct1987;CH_NT-NR_1987__Zuerich;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
CH_NT-NR_1987__Bern__18oct1987;CH_NT-NR_1987__Bern;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
CH_NT-NR_1987__Luzern__18oct1987;CH_NT-NR_1987__Luzern;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
CH_NT-NR_1987__Uri__18oct1987;CH_NT-NR_1987__Uri;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
CH_NT-NR_1987__Schwyz__18oct1987;CH_NT-NR_1987__Schwyz;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
CH_NT-NR_1987__Obwalden__18oct1987;CH_NT-NR_1987__Obwalden;CH_NT-NR_1987;18oct1987;regular;popular;;main-election;1;
